AM1,AM2
50.54661232160701,54.45302650814831
47.91959383923618,52.19142308154105
53.336034945584316,44.688563482103184
53.60909776967071,56.38667397267541
51.98831398359443,52.409729953753406
50.73840856177631,49.36471139332083
51.45992126023644,62.97204259708794
49.67171448237179,53.84279823476
53.756223933250446,44.72257007006998
49.83394644851742,58.80315333968749
51.314447514270654,49.91087859089859
50.442924139867266,48.256679376951546
54.31353343726697,63.07337391713013
52.29408260812916,49.816427561883685
51.88437377252466,46.71017484615068
53.68192895463602,58.621524299386216
53.30932328063902,47.92661812570528
55.567127888889196,45.189743496663745
53.48558922087147,59.66223074182582
50.81345528918783,48.19730573475738
49.899761561081995,45.826303578084655
51.02895733624589,63.03093368812461
51.31752251289014,50.52371518273182
52.96445550931058,48.388971286014204
50.627763737984594,62.22507944734642
55.46204710402448,53.098032845383905
53.2407560466951,46.20481336969929
54.50807970050575,60.166837964645055
51.59547172453283,56.141270764382504
49.931777298622265,48.214888726380835
50.59518593789863,60.405594925206515
51.454413644539244,52.69652481427383
51.14489607674094,50.66885124327051
48.110277821721844,64.27755973371981
52.06658616121639,47.70143329797207
53.219317666538394,43.034433946714046
50.3812336543372,58.328289125824384
51.26931423789878,54.187823565779546
50.409200438793846,49.10507162507539
52.11950400428006,59.47181020523252
52.90271598772116,54.75099693104317
54.65123313725977,49.36151201710517
52.964944835733334,58.65363389304258
54.856016423378385,54.23467498427279
49.535207439301075,46.690112007030244
51.72298532764832,57.33794772737214
48.8871961816895,49.34988859650029
49.072150987696375,45.88463661583623
55.12396131356308,61.437561444399144
51.14753737351538,50.99349550368747
59.00601674967951,42.118016267906256
52.162193504719475,58.19257565730123
52.9070792475615,49.259099923125255
53.528156751107225,44.06903852957284
55.080873062348374,58.803210260747704
53.27276144597576,52.911128461944315
50.230811548224,44.72537990230337
49.24448051920283,62.35681905818889
49.643278361785264,50.688072956398926
48.09352123009173,47.108480403071994
51.71306612156476,60.88224798549029
50.33017420886555,51.62997388969911
51.94490760613366,46.3746516620605
49.70664016657342,59.72487300234771
52.42587782616901,54.309795765975025
50.38219817372708,45.38751018402265
56.719957558451675,62.841116300744176
53.07132077248687,49.67153806997074
53.16348045975773,44.37956821694966
52.54316476719206,61.9561329837846
49.48675825748748,49.423493414363946
55.1447851585977,47.94392936763476
56.5465218017201,59.86159637520305
51.2517364663671,53.42209528630474
55.37529194430276,48.863577351739494
52.33851759204443,62.50919418861032
50.68072414819181,53.090540794912286
53.01583717789872,49.31731313495708
52.263820847045714,62.820466680639335
51.55858948365248,50.901226199272855
50.52961724584906,43.17487069219257
50.02941420915379,61.67684542461606
50.103517362698845,53.75418201710948
54.33661584739961,45.04862069473964
51.38691199779536,59.32470312930553
51.54112730720863,53.725379020559004
49.07155683733168,47.153977665906034
53.33368587194171,63.325156410385716
53.25212382348934,47.51189972310141
54.4989966259689,45.72508587963186
52.16651836016431,58.64522483923905
52.48371967550009,50.736711507117285
51.62942621966823,46.47730897892884
52.09734175850406,57.94392899355455
48.518445919891754,54.41874110061405
50.88885545412995,45.87715025976191
52.17664268153471,59.4469288020899
48.57129760923481,58.73651776628404
55.421486533156205,48.7278448960106
49.14756304185417,62.93082802714484
