pop1,pop2
2002.2606972681094,2491.2193161903633
2008.4868094550743,2513.5261522821866
1991.7950329439568,2518.216814625189
2012.456292051712,2512.1996595102955
1988.8048709782004,2496.757736939141
1982.4003067153424,2519.8385391076913
2000.613708465163,2473.854194991492
1994.3355235231047,2497.5711695079485
1980.3674291004284,2528.537090604445
1991.2209533007008,2479.7913167982533
1998.5985155250494,2460.4466043338093
2016.3112982418552,2531.5803324940703
1983.7194202270048,2511.1307180606923
1997.1842827452517,2481.7801469574433
1997.7962376072596,2515.8500945608885
1999.991568606894,2510.1649198993346
2017.794786891402,2529.7527062623813
1995.0125892395663,2486.03680885547
2014.8787458235804,2502.597543748795
1995.3470566766935,2509.619328212539
2016.6860562130596,2524.3837895690667
2010.8673428124896,2502.52375096046
1987.4246822058126,2479.987400001949
2016.0026103562282,2475.6893934426507
2010.0908403922972,2492.0579186464215
1989.1013653354516,2491.1770041018367
1994.0314015630508,2523.1046158293693
1999.1070881534513,2498.0272774060527
2012.6038737649492,2502.1607615224084
2009.7431619186266,2486.232219434103
1994.3786134945037,2513.3816269330214
2002.203141621056,2510.444151424294
2017.6649476377136,2492.4826489367574
2022.2092501541767,2526.2190208319053
2004.1105920788098,2505.36818550263
1982.641534094824,2485.0504573803005
1999.2316545845545,2506.331964438914
2030.2342404813116,2513.2932923407484
1991.5628643881325,2511.9180047583427
1997.036473136901,2492.785975569217
2009.6017009517375,2483.4280241333013
1992.6739211209522,2537.9877745437143
2017.9376428955554,2482.0664241418876
1991.5481219415587,2522.3390576073184
2002.1011454551256,2475.3620129707747
2012.895509405155,2520.023654960928
1993.6646765429775,2474.9108064624775
2010.2877809237505,2498.178946793506
2009.0680776596892,2500.268969257253
1999.5847169425988,2510.8838871980033
1997.7912386281885,2513.6532666517724
2007.7336203595198,2530.736265416651
1974.2336259128633,2483.2549707939907
2024.2552483774052,2494.924820676772
1995.8573675653588,2504.750003990212
2016.6346022878186,2493.2301001872556
2022.8419326875414,2513.2764158668288
2019.9007908556796,2515.923591866206
1999.6779394541725,2490.739543710748
1992.782178563228,2500.691102826896
1999.8742556415884,2491.4928592344236
2000.1807003893236,2515.2017922171303
2005.6665613256062,2489.000275047351
2000.894979159524,2508.4898028903267
1993.582015416882,2483.8361238318835
2001.5620173979667,2468.6581640424165
1989.787484703772,2494.8695761879985
2021.3472825991269,2508.5806374175854
2006.3961197264507,2492.7545968531035
1987.322683737299,2508.4726625373974
1994.8865009723618,2520.71761536704
2018.4791290774288,2503.19070805273
2000.1349892915173,2515.005222193377
1996.5090916983684,2490.186001703889
1982.7100528265828,2529.140909551059
2019.878930956721,2508.288057477901
1988.734217510511,2490.5424392082246
1992.77369295449,2487.6290653621472
2004.7252217299335,2479.1393976757636
2016.1001758974428,2536.2773110781773
1975.9367227604348,2488.0519478134415
1996.758012004838,2481.8356612519497
1997.9878463684367,2491.208252403953
2015.2007556681635,2487.3222329377913
1992.620119931024,2512.9693929174273
1986.7322503982612,2487.9375897203054
1995.33202797876,2521.513480133774
2004.8222077658422,2501.628131980776
2019.2724869395042,2507.344749852595
1985.2181698448405,2513.264248129261
2002.275604776517,2502.1658915066228
2006.6681376894553,2479.870737785625
2010.4271931190021,2488.1351539778116
2003.9041346660372,2503.4824074331277
2005.304775127202,2541.690598240995
2030.6735125002676,2515.9776544639412
2008.7839578365251,2527.840197213576
2014.3826950463547,2487.965103617591
1984.500951326058,2493.138131259822
2009.8447263717676,2502.906949030189
2010.0734091121722,2493.513453146673
1990.5150406038397,2490.7321972154673
1969.281105053916,2503.6075200533583
2023.3861062553872,2507.0831509794557
1996.6214376276764,2493.8775405294095
1994.8983744631685,2497.645120683311
1990.2959599549213,2487.737299923481
2011.223023072995,2476.3411268138225
1992.9604448655575,2513.3897025135893
2005.996190582951,2475.6899627668704
2003.521547470016,2483.3590706261152
2018.7538002169858,2513.153968943991
1983.2529681992667,2483.6164084826255
1986.933937843226,2492.872745748256
2013.8700998526565,2503.8322890757872
1990.8967662233035,2490.514361288474
1993.3973729983252,2509.554477005847
2019.105660364944,2509.805975855244
1999.3087534510778,2495.7339928048204
1972.4508735083994,2496.6038156863533
2010.8672023967395,2477.3437289138396
1996.9140301656444,2502.8622987321564
2008.0671551993348,2509.4752803970628
1994.3838109727665,2496.732971527876
2003.0542646559206,2473.6498788733547
2008.1891442067788,2514.107711468243
1982.1450006781804,2504.7945308862054
1993.4225976727762,2502.2446791677876
1985.962440448628,2500.423056676735
2000.5802371949626,2510.6822324753202
1979.1711430594903,2483.348278750882
1987.8266341035983,2475.0916815866026
1991.468013977283,2518.2828466558153
1985.6426927763312,2509.826666428807
2008.0721867548646,2491.780514932867
2007.4445789081685,2490.690752073237
1987.0196447756362,2484.476399394907
1996.9548527284587,2462.8257474416932
1999.219455095671,2490.4969802582227
2011.008722379317,2515.981475470792
2004.7680762467448,2519.190135958708
1972.3939878321225,2495.5183268691717
1993.1149941251865,2489.4618481469474
2019.0748922332327,2496.9708961062493
1996.0378600526017,2497.498000979127
1996.7716797801818,2491.31731782074
1986.0535735527003,2485.7049981860964
1996.3310224626082,2502.184793919509
2011.3750119596236,2484.991153495882
1997.4365523069146,2487.312779820271
1985.4349761043277,2498.3038097441035
1991.5012722980987,2500.758263500868
1998.7233997992946,2474.4816577128963
1985.0400535683436,2495.8556306260093
2007.12104651811,2500.643891955851
1989.1659356152009,2517.4060943959735
2002.7563381430575,2518.9681135629235
2002.6603142938595,2508.463204209339
1994.2988043197777,2497.325542785298
2012.536312635184,2488.5438835292994
1990.452066499781,2481.482504634679
1993.876853908816,2509.277709412183
1985.5461516925848,2496.233925445331
1988.073469574556,2502.3672607610724
1992.2434367595588,2525.9085658467434
1998.4917617348249,2519.329213173143
2014.6611917261073,2505.6087952857674
2004.8938280452319,2509.5740953718073
1992.6832376205286,2507.3669544079
2022.4768803775771,2480.8484724511627
2002.2362893500672,2486.9189140763456
2012.2495833835849,2513.261104595541
1997.3741280712331,2498.0654873951294
1990.2871174182367,2500.8754528688924
1992.0996928425002,2475.022114237014
1996.7138024719366,2533.139034629897
1999.5088064987087,2499.4050421191514
1984.1265064755146,2492.812500722934
2003.3378373425273,2491.496555202605
1999.2625622545586,2512.1231632947433
2009.8615191670654,2492.109141557748
2014.0555545152022,2475.3892347383985
2004.7836967708704,2505.5190246702746
2013.973221106283,2519.7150032405566
2006.3116658368422,2496.7659125336554
2002.394448650292,2481.60704408577
2004.7348536364918,2468.8855359076542
1981.4003134557527,2488.853538030131
2015.7652075931435,2515.75433101785
2011.5405035796864,2513.1541350391103
1984.034815263162,2515.8858102355493
2000.5576444234248,2490.9117417602024
2005.0514982874918,2483.6724427561426
2005.1315965176595,2502.455041753585
2017.57046433784,2529.4719967014266
1986.0590833780407,2498.8147683033862
2015.244280860431,2495.553904531054
1991.2077782668732,2513.2176855532316
2011.5228737346183,2524.9780097737143
1993.328962823046,2494.3349561374835
2008.1563209783744,2482.7870444960085
2015.4700782788996,2482.9575844229253
1983.3823487197399,2509.830508589299
2003.7240767568262,2512.666140673084
1999.7598032341316,2517.3039729134343
1978.1243822856577,2504.6543709982807
2015.208022702028,2496.79613664363
1987.4076939159359,2506.7027436628023
1982.65882202047,2503.9924426048365
1986.0194713728627,2477.450999311309
2002.3750090048075,2497.046805891421
2004.9341921044152,2535.904187119081
2004.4385937597476,2515.1491956599734
1996.160452337815,2517.08441365855
1991.6646764323723,2509.7272907073916
1999.4997390903695,2506.4779853165073
1998.5515078957515,2493.979684517462
1994.2326202674606,2508.951800929243
1997.5016756616235,2484.2940192395918
2010.2483916455483,2487.937979230385
1987.0306957282903,2500.5833298743023
1986.1866927254748,2511.270252677545
2009.6417376087936,2501.2878578931127
2009.7365937566506,2506.3914485244804
1997.7180303939158,2492.090701817594
2034.2829304366983,2493.841864264665
2014.0527257487518,2466.07936007454
